link,strikethrough_price,sold_price,property_type,address,bedrooms,bathrooms,garages,lat,long
/on/richmond-hill-real-estate/204-330-red-maple-rd/home/MB5bO3xvQvQykWVP/,"$600,000","$605,000",Condo Apt,"204 - 330 Red Maple Rd , Richmond Hill - Langstaff",,,,43.85087679999999,-79.4282484
/on/etobicoke-real-estate/508-40-richview-rd/home/r56k97w00rO3KRjD/,"$729,888","$680,000",Condo Apt,"508 - 40 Richview Rd , Etobicoke - Humber Heights",,,,43.685146,-79.51595379999999
/on/mississauga-real-estate/1616-50-mississauga-valley-blvd/home/BXeEn7XKdzKyrPo8/,"$619,900","$595,000",Condo Apt,"1616 - 50 Mississauga Valley Blvd , Mississauga - Mississauga Valleys",,,,43.5897196,-79.6258245
/on/etobicoke-real-estate/24-wallis-cres/home/0ZxwR7MoA2xYKabB/,"$874,999","$815,000",Detached,"24 Wallis Cres , Etobicoke - Mount Olive-Silverstone-Jamestown",,,,43.7542917,-79.5923466
/on/vaughan-real-estate/27-novella-rd/home/b1DBW7RNNKD7qlAp/,"$1,198,000","$1,148,000",Semi-Detached,"27 Novella Rd , Vaughan - Patterson",,,,43.8404081,-79.4876544
/on/toronto-real-estate/ph03-159-wellesley-st-e/home/K8OgYBVldz4YJmG2/,"$549,990","$525,000",Condo Apt,"PH03 - 159 Wellesley St E , Toronto - Cabbagetown-South St. James Town",,,,43.6667703,-79.3748964
/on/markham-real-estate/25-ryler-way/home/9w8o3m5xxxj3GKjm/,"$1,256,900","$1,230,000",Semi-Detached,"25 Ryler Way , Markham - Cedarwood",,,,43.84258,-79.23913999999999
/on/toronto-real-estate/2611-8-eglinton-ave-e/home/kbEDRYaa8WvY1VaB/,"$659,800","$650,000",Condo Apt,"2611 - 8 Eglinton Ave E , Toronto - Mount Pleasant West",,,,43.7072077,-79.3977826
/on/markham-real-estate/34-washington-st/home/eVbOYEpAXxK3x2P0/,"$1,429,000","$1,429,000",Detached,"34 Washington St , Markham - Old Markham Village",,,,43.8767345,-79.2596069
/on/etobicoke-real-estate/405-35-fontenay-crt/home/L5VXv3lomaV7j2q8/,"$590,888","$588,000",Condo Apt,"405 - 35 Fontenay Crt , Etobicoke - Edenbridge-Humber Valley",,,,43.6828185,-79.5109251
/on/toronto-real-estate/12-51-florence-st/home/a6zqW7dV5ZgY5eZE/,"$699,000","$740,000",Condo Townhouse,"12 - 51 Florence St , Toronto - Little Portugal",,,,43.6454189,-79.43179219999999
/on/markham-real-estate/266-16-elgin-st/home/gAaOyL8D14AyGxMb/,"$779,000","$773,000",Condo Apt,"266 - 16 Elgin St , Markham - Thornhill",,,,43.81259319999999,-79.4220114
/on/vaughan-real-estate/113-solway-ave/home/LzQ1y5Ee9NnyqdeK/,"$1,338,888","$1,335,000",Detached,"113 Solway Ave , Vaughan - Maple",,,,43.8637789,-79.5162338
/on/scarborough-real-estate/44-401-sewells-rd/home/owJKR7P9wkO3XeLP/,"$698,000","$785,000",Condo Townhouse,"44 - 401 Sewells Rd , Scarborough - Rouge E11",,,,43.8171847,-79.20946930000001
/on/toronto-real-estate/53-wilson-park-rd/home/6VLaGyGk9PGyW1ZD/,"$2,199,000","$2,463,000",Detached,"53 Wilson Park Rd , Toronto - South Parkdale",,,,43.6381666,-79.44166919999999
/on/markham-real-estate/715-7373-kennedy-rd/home/RdXze3e1g6q38m9K/,"$699,900","$680,000",Condo Apt,"715 - 7373 Kennedy Rd , Markham - Milliken Mills East",,,,43.8337869,-79.30344099999999
/on/toronto-real-estate/241-lansdowne-ave/home/damgL7Aqr8b7Z1MW/,"$2,795,000","$2,700,000",Detached,"241 Lansdowne Ave , Toronto - Little Portugal",,,,43.6487763,-79.4389947
/on/vaughan-real-estate/146-laurelhurst-cres/home/MB5bO3xzP9QykWVP/,"$1,099,900","$1,090,000",Freehold Townhouse,"146 Laurelhurst Cres , Vaughan - Vellore Village",,,,43.82622809999999,-79.5561668
/on/mississauga-real-estate/302-810-scollard-crt/home/weQp5yOj8nGYd0ZE/,"$624,900","$619,000",Condo Apt,"302 - 810 Scollard Crt , Mississauga - East Credit",,,,43.59305,-79.67089
/on/vaughan-real-estate/1701-2916-highway-7-rd/home/0J6Em7bPN68YXBeq/,"$569,900","$545,000",Condo Apt,"1701 - 2916 Highway 7 Rd , Vaughan - Concord",,,,43.7962619,-79.52134629999999
