School Name,"Number of
Previously
Eligible
Students","Absent
(All
Previously
Eligible
Students)","Deferred
(All
Previously
Eligible
Students)","Successful
(Fully
Participating)","Not
Successful
(Fully
Participating)"
A Y Jackson Secondary School,312,8%,0%,88%,12%
Agincourt Collegiate Institute,388,1%,<1%,94%,6%
Albert Campbell Collegiate Institute,261,4%,7%,88%,12%
ALPHA II Alternative School (Sec),N/R1,N/R1,N/R1,N/R1,N/R1
Alternative Scarborough Education 1,N/R,N/R,N/R,N/R,N/R
Avondale Secondary Alternative School,19,16%,5%,73%,27%
Birchmount Park Collegiate Institute,169,22%,1%,79%,21%
Bloor Collegiate Institute,197,4%,0%,94%,6%
Burnhamthorpe Collegiate Institute,N/R,N/R,N/R,N/R,N/R
C W Jefferys Collegiate Institute,255,36%,0%,72%,28%
CALC Secondary School,N/R,N/R,N/R,N/R,N/R
Cedarbrae Collegiate Institute,264,13%,0%,76%,24%
Central Technical School,231,19%,0%,62%,38%
Central Toronto Academy,230,4%,<1%,86%,14%
City School,N/R,N/R,N/R,N/R,N/R
Contact Alternative School,12,8%,0%,36%,64%
Danforth Collegiate and Technical Institute,316,11%,0%,79%,21%
David and Mary Thomson Collegiate Institute,347,19%,0%,70%,30%
Delphi Secondary Alternative School,21,0%,10%,100%,0%
Don Mills Collegiate Institute,192,18%,0%,92%,8%
Downsview Secondary School,123,123,123,123,123
Dr Norman Bethune Collegiate Institute,276,276,276,276,276
Drewry Secondary School,,,,,
Earl Haig Secondary School,527,527,527,527,527
East York Alternative Secondary School,25,25,25,25,25
East York Collegiate Institute,311,311,311,311,311
Eastdale Collegiate Institute,,,,,
Emery Collegiate Institute,138,138,138,138,138
Emery EdVance Secondary School,,,,,
Etobicoke Collegiate Institute,306,306,306,306,306
Etobicoke School of the Arts,234,234,234,234,234
Etobicoke Secondary Alternative School,16,16,16,16,16
Forest Hill Collegiate Institute,185,185,185,185,185
Frank Oke Secondary School,,,,,
"George Harvey Collegiate Institute
(Consolidated to York Memorial CI from Sept.
2022)",138,138,138,138,138
George S Henry Academy,107,107,107,107,107
Georges Vanier Secondary School,246,246,246,246,246
Greenwood Secondary School,,,,,
Harbord Collegiate Institute,259,259,259,259,259
Heydon Park Secondary School,,,,,
Humberside Collegiate Institute,396,396,396,396,396
Inglenook Community School,15,15,15,15,15
Jarvis Collegiate Institute,130,130,130,130,130
John Polanyi Collegiate Institute,125,125,125,125,125
"Kapapamahchakwew - Wandering Spirit
School (Sec)",19,19,19,19,19
Kipling Collegiate Institute,171,171,171,171,171
Lakeshore Collegiate Institute,154,154,154,154,154
L'Amoreaux Collegiate Institute,124,124,124,124,124
Lawrence Park Collegiate Institute,313,313,313,313,313
Leaside High School,270,270,270,270,270
Lester B Pearson Collegiate Institute,294,294,294,294,294
Malvern Collegiate Institute,272,272,272,272,272
Maplewood High School,,,,,
Marc Garneau Collegiate Institute,458,458,458,458,458
Martingrove Collegiate Institute,237,237,237,237,237
Monarch Park Collegiate Institute,215,215,215,215,215
Native Learning Centre East,,,,,
Newtonbrook Secondary School,196,196,196,196,196
North Albion Collegiate Institute,199,199,199,199,199
North Toronto Collegiate Institute,357,357,357,357,357
North West Secondary Alternative School,,,,,
Northern Secondary School,451,451,451,451,451
Northview Heights Secondary School,364,364,364,364,364
Oakwood Collegiate Institute,65,65,65,65,65
Oasis Alternative Secondary School,52,52,52,52,52
Parkdale Collegiate Institute,163,163,163,163,163
Parkview Alternative School,,,,,
R H King Academy,303,303,303,303,303
Richview Collegiate Institute,319,319,319,319,319
Riverdale Collegiate Institute,387,387,387,387,387
Rosedale Heights School of the Arts,244,244,244,244,244
Runnymede Collegiate Institute,121,121,121,121,121
SATEC @ WA Porter Collegiate Institute,328,328,328,328,328
Scarborough Centre for Alternative Studies,,,,,
School of Experiential Education,40,40,40,40,40
School of Life Experience,,,,,
SEED Alternative School,,,,,
Silverthorn Collegiate Institute,215,215,215,215,215
Sir John A Macdonald Collegiate Institute,274,274,274,274,274
Sir Oliver Mowat Collegiate Institute,253,253,253,253,253
Sir Wilfrid Laurier Collegiate Institute,365,365,365,365,365
Sir William Osler High School,,,,,
South East Secondary Alternative School,,,,,
Stephen Leacock Collegiate Institute,131,131,131,131,131
Subway Academy I,,,,,
Subway Academy II,,,,,
THESTUDENTSCHOOL,,,,,
Thistletown Collegiate Institute,120,120,120,120,120
Ursula Franklin Academy,111,111,111,111,111
Victoria Park Collegiate Institute,302,302,302,302,302
West End Alternative School,15,15,15,15,15
West Hill Collegiate Institute,230,230,230,230,230
West Humber Collegiate Institute,256,256,256,256,256
Western Technical-Commercial School,252,252,252,252,252
Weston Collegiate Institute,291,291,291,291,291
Westview Centennial Secondary School,160,160,160,160,160
Wexford Collegiate School for the Arts,257,257,257,257,257
William Lyon Mackenzie Collegiate Institute,329,329,329,329,329
Winston Churchill Collegiate Institute,173,173,173,173,173
Woburn Collegiate Institute,247,247,247,247,247
York Humber High School,,,,,
York Memorial Collegiate Institute,210,210,210,210,210
York Mills Collegiate Institute,258,258,258,258,258
Yorkdale Secondary School,,,,,
